             eV             nm  Absorbance(f)     XX(length)     YY(length)     ZZ(length)      R(length)   XX(velocity)   YY(velocity)   ZZ(velocity)    R(velocity)
         3.9403       314.6500         0.0033        -3.7195        -4.0366        -9.6011        -5.7857       -11.2539         0.9917        -5.1436        -5.1353
         3.9437       314.3900         0.0621       -40.7338      -159.7253        -0.7442       -67.0678       -22.7296       -28.1994      -161.0478       -70.6589
         3.9568       313.3400         0.0147        -4.6732      -244.5928         0.1915       -83.0248      -109.4895        -3.7362      -150.9153       -88.0470
         3.9612       313.0000         0.0115        -0.0970         0.0277        79.5022        26.4776        73.2725        11.2606        -0.0243        28.1696
         3.9649       312.7000         0.0074         4.8626        -6.8318       -58.7589       -20.2427       -18.6997       -39.8187        -8.3885       -22.3023
         3.9661       312.6100         0.0325        44.3051       -65.2283        -6.8059        -9.2430        11.0807        19.9315       -71.7824       -13.5901
         3.9749       311.9100         0.0206        -3.9565       110.3336        -4.4208        33.9854        98.1362        -6.5815        17.7037        36.4195
         3.9753       311.8800         0.0036        -0.0921        15.7094       -25.9280        -3.4369        -1.8290        -8.1527         0.3980        -3.1945
         3.9822       311.3400         0.0001         0.2751        -3.9144         0.7079        -0.9771         0.0821        -0.4180         0.1072        -0.0763
         3.9836       311.2400         0.0002         6.2900        -6.5435         1.2445         0.3303        -4.4964         2.4412         4.4143         0.7864
         3.9891       310.8000         0.0191        -9.0565       -42.3056        -0.6125       -17.3249       -46.0214        -8.8399       -12.1157       -22.3257
         3.9906       310.6900         0.0069        -0.3422        -0.3705        47.5752        15.6208        69.9261       -21.3637        -0.3021        16.0868
         3.9984       310.0900         0.0342      -173.5140        -7.3389         2.4994       -59.4511        -4.5004       -97.9288       -72.4018       -58.2770
         3.9993       310.0200         0.0058       -28.9025        -1.9158        22.4933        -2.7750        20.1719       -17.1075       -11.6803        -2.8720
         4.0106       309.1400         0.0560        93.0256       -35.3981        -5.0268        17.5336       -26.3909        65.0174        14.9106        17.8457
         4.0122       309.0200         0.0175        13.3758        -4.0064       -44.7741       -11.8016       -83.1570        42.0967         2.6912       -12.7897
         4.0171       308.6400         0.0001         0.0427        -0.4470        -1.3736        -0.5926        -2.5729         0.0724        -0.0407        -0.8471
         4.0202       308.4000         0.0098         0.2350         0.0153        14.9025         5.0509         3.5869        13.0593         0.1041         5.5834
         4.0277       307.8300         0.0576      -100.4959       108.3317         1.1346         2.9901        30.4727       -52.4255        42.5910         6.8794
         4.0316       307.5300         0.0309        -0.0347         0.4322        78.5300        26.3092        42.9351        38.2074         0.4852        27.2092
         4.0327       307.4500         0.0886      -135.6215        76.3577         0.0786       -19.7284         4.8565       -70.3751        20.3133       -15.0684
         4.0451       306.5100         0.0027        -2.3418         1.1255        -0.7217        -0.6460        -0.3896         0.9866        -2.4297        -0.6109
         4.0477       306.3100         0.0013       -33.5305         0.5341        -0.1030       -11.0331        -1.2474       -14.6684       -13.8754        -9.9304
         4.0503       306.1100         0.0002        -3.1876         0.0540         0.2794        -0.9514         0.9437        -3.2225        -1.4038        -1.2275
         4.0638       305.1000         0.0093         0.6387        -0.1596       -45.9133       -15.1447       -23.1549       -24.5461         0.6345       -15.6888
         4.0647       305.0300         0.0056        23.5994        -2.4672         0.3790         7.1704       -22.0808         8.3722        32.4648         6.2521
         4.0658       304.9500         0.0039         6.0565        -1.7250        18.4771         7.6028        20.2633        -4.0254         7.6647         7.9675
         4.0744       304.3000         0.0295         3.4979      -135.6685         0.0175       -44.0510       -61.8629        -3.7014       -68.1517       -44.5720
         4.0783       304.0100         0.0124        -0.1363        -1.1282       -21.4294        -7.5646       -12.9172       -12.8432         0.0262        -8.5781
         4.0806       303.8400         0.0087       -27.3908        61.4268        -8.7694         8.4222        19.7713       -19.3070        32.0141        10.8261
         4.0814       303.7800         0.0098       -38.3072        63.6229       -12.8342         4.1605        20.2823       -27.5884        27.9136         6.8692
         4.0903       303.1200         0.0140        27.1586        97.0941        -0.1064        41.3821       117.3386         7.1720         7.9137        44.1414
         4.0976       302.5800         0.0015         1.5848        -5.1579        38.4277        11.6182        22.7429        22.2340         2.2245        15.7338
         4.1003       302.3800         0.0028       -55.8514        16.1507         0.2626       -13.1460        16.9221       -23.4347       -24.3438       -10.2855
         4.1011       302.3200         0.0181        27.9016       -78.0955         7.3678       -14.2754      -134.8354        25.7416        58.0361       -17.0193
         4.1037       302.1300         0.0451         0.4259        -0.0750       100.5700        33.6403        80.7983        28.0972         1.6900        36.8618
         4.1169       301.1600         0.0357        45.2956        -0.1285         2.1607        15.7759       -29.7328        21.6172        53.6531        15.1792
         4.1189       301.0100         0.0023         0.9460         1.4918        21.4185         7.9521        11.4296        11.1110         2.6286         8.3898
         4.1206       300.8900         0.0003         2.2997         2.8956         1.2784         2.1579         2.5086         1.0668         3.2919         2.2891
         4.1254       300.5400         0.0063        53.8903        46.0222        -0.3593        33.1844        15.3384        30.8209        60.9128        35.6907
         4.1291       300.2700         0.0295        70.3067       235.6298         0.0828       102.0064       143.0484        31.3588       147.4167       107.2746
         4.1366       299.7300         0.0149      -108.4883        84.6891         0.9716        -7.6092        83.7312       -49.3385       -45.8270        -3.8115
         4.1404       299.4500         0.0131        -0.7162         2.5504        11.6293         4.4878      -107.5947       121.6001         1.1114         5.0389
         4.1448       299.1300         0.0003         0.6447         0.2025         7.5300         2.7924         4.3073         7.5364         0.6743         4.1727
         4.1483       298.8800         0.0258        83.3366         5.4164        11.2767        33.3432         4.3116        46.2924        50.8499        33.8180
         4.1488       298.8400         0.0108        13.4958         1.6416        74.0472        29.7282        15.2910        75.3058         9.8754        33.4907
         4.1516       298.6400         0.0002        -1.5662        -0.0810         0.0505        -0.5322       -10.5722        -0.4322         8.1632        -0.9471
         4.1645       297.7200         0.0248         0.4956        -1.5733       -30.2546       -10.4441       -55.8580        22.7784        -0.8827       -11.3207
         4.1680       297.4700         0.0604        -0.0326        -6.0178       210.1816        68.0437       242.3029       -17.0845        -5.6037        73.2049
         4.1690       297.3900         0.0461       -16.7676      -150.6213         1.5471       -55.2806       -41.5936         3.2804      -127.6174       -55.3102
         4.1707       297.2700         0.0135         0.4649       -20.2959       -21.6265       -13.8191        65.1292       -94.7245       -15.0801       -14.8918
         4.1741       297.0300         0.0210        -1.4637        28.8518         1.0677         9.4852        58.9159        -5.3092       -24.6649         9.6473
         4.1766       296.8600         0.0482        -0.6301         0.2799        43.0858        14.2452       238.0352      -189.9687        -0.0506        16.0053
         4.1812       296.5300         0.0148       -57.4680        67.6162       -46.4420       -12.0979       -11.4764       -23.4292         5.8896        -9.6720
         4.1833       296.3800         0.0118       -11.4460        19.1043      -165.5626       -52.6348      -170.6136         4.9688         4.4273       -53.7392
         4.1863       296.1700         0.0262        -2.6835        -0.3917      -156.2014       -53.0922      -230.1684        60.7911        -2.2391       -57.2054
         4.1894       295.9500         0.0530      -198.9497        40.3772        -1.1066       -53.2264       -16.9355      -116.7946       -16.8844       -50.2048
